input,gold,pred,evaluation
" 
 The umbrella theory explaining the Earth's movement, contact, and flattening of large land plates is known as 
 A. the Coriolis effect 
 B. plate tectonics 
 C. hotspots 
 D. the Richter Magnitude Scale 
 E. the subduction zone ",B," #B 
The correct answer is #B. 
The umbrella theory explaining the Earth's movement, contact, and flattening of large land plates is known as #B. plate tectonics. 
The Coriolis effect is the apparent deflection of moving objects on the surface of the Earth due to the rotation of the planet. It is not the umbrella theory explaining the Earth's movement, contact, and flattening of large land plates.
The Richter Magnitude Scale is a logarithmic scale used to measure the magnitude of earthquakes",1
" 
 A long, narrow, upper atmosphere current of fast moving air is known as a 
 A. jet stream 
 B. thermophile 
 C. contrail 
 D. gust of wind 
 E. typhoon ",A," #A 
The correct answer is: A. jet stream 
The definition of jet stream is: A long, narrow, upper atmosphere current of fast moving air. 
The definition of thermophile is: An organism that grows best in hot environments.
The definition of contrail is: A trail of water droplets or ice crystals left behind by an aircraft in the sky.
The definition of gust of wind is: A sudden, strong, brief current of air.
The definition of typhoon is: A tropical cyclone in the western Pacific Ocean. 
  [",1
" 
 Archaeologists record the top layers first, followed by older, deeper layers to study ancient settlements and cities following the 
 A. principle of original horizontality 
 B. principle of uniformitarianism 
 C. principle of superposition 
 D. principle of uniformity 
 E. principle of lateral continuity ",C," #E. principle of lateral continuity 
  ",0
" 
 Gravitational forces within the Earth, as well as heat and radioactive element recycling in the molten core, take place through 
 A. subduction 
 B. deflection 
 C. transformation 
 D. convection 
 E. divergent boundaries ",D, #D. convection  ,1
" 
 Which two gases make up the majority of the Earth's gases? 
 A. Oxygen and methane 
 B. Oxygen and propane 
 C. Nitrogen and carbon dioxide 
 D. Benzene and nitrogen 
 E. Nitrogen and oxygen ",E," #E 
The correct answer is E. Nitrogen and oxygen. 
The Earth's atmosphere is composed of 78% nitrogen, 21% oxygen, and trace amounts of other gases. 
The other options are incorrect because:

A. Oxygen and methane are not the majority of the Earth's gases.
B. Oxygen and propane are not the majority of the Earth's gases.
C. Nitrogen and carbon dioxide are not the majority of the Earth's gases.
",1
" 
 Because he figured out that sedimentary rock must have been compacted and compressed, over many ages, _______ is known as the father of modern geology. 
 A. Richard Palmer 
 B. James Hutton 
 C. W 
 D. Nicholas Steno 
 E. Aubrey Hough ",B," #B 
James Hutton is known as the father of modern geology. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",1
" 
 An ocean trench is formed along the 
 A. transform fault boundary of two colliding plates 
 B. Mid-Atlantic Ridge 
 C. distant edge boundary of two colliding plates 
 D. divergent boundary of two colliding plates 
 E. convergent boundary of two colliding plates ",E," #D 
The correct answer is D. divergent boundary of two colliding plates. 
  ",0
" 
 Which of the following is the highest layer of the atmosphere? 
 A. Stratosphere 
 B. Thermosphere 
 C. Ozone 
 D. Troposphere 
 E. Mesosphere ",B," #B 
The correct answer is #B. Thermosphere. 
  ",1
" 
 Water-layered sediments that thin to nothing at a shore or the area where first deposited are the subject of the 
 A. principle of uniformity 
 B. principle of original horizontality 
 C. second law of thermodynamics 
 D. principle of superposition 
 E. principle of lateral continuity ",E," #D 
The correct answer is D. principle of superposition. 
 
The principle of superposition states that any sedimentary rock layer is younger than the one above it. This means that the oldest rocks are at the bottom of the sequence and the youngest rocks are at the top. 
 
The principle of uniformity states that the geological processes that occurred in the past are the same as the ones that occur today. This means that the geological processes that formed the rocks in the past are the same as the ones that form the rocks today. 
 
The second law of",0
" 
 Any solid material (rock or organic) that settles out from a liquid is known as 
 A. sediment 
 B. ash 
 C. a biofuel 
 D. granite 
 E. cinders ",A," #A 
  ",1
" 
 The principle of uniformitarianism includes the idea that 
 A. continental shifting and compression are possible across different regions 
 B. energy can neither be created nor destroyed 
 C. volcanoes can erupt even when quiet for 200 years 
 D. population growth is slow and the birth rate drops to around the death rate 
 E. primary consumers (i.e., herbivores) consume plants and algae ",A," #E. primary consumers (i.e., herbivores) consume plants and algae. 
 
The correct answer is #E. primary consumers (i.e., herbivores) consume plants and algae. 
 
The principle of uniformitarianism is the idea that the processes that occur in the present day are the same as those that occurred in the past. This means that the geological processes that we see today, such as erosion, sedimentation, and plate tectonics, are the same processes that have been occurring throughout Earth'",0
